dataset,variant,seed,epsilon,selected_threshold,validation_fp_rate,test_n_clean,test_fp_images,test_fp_rate,test_false_detections,test_fppi,n_retained,n_targets,tp50,fp50,fn50,precision,recall,mAP50
vnwoodknot,a2_colorjitter,42,0.0,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,397,155,150,247,5,0.3778337531486146,0.967741935483871,0.789144764990918
vnwoodknot,a2_colorjitter,43,0.0,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,317,155,144,173,11,0.45425867507886436,0.9290322580645162,0.804644306967927
vnwoodknot,a2_colorjitter,44,0.0,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,339,155,147,192,8,0.4336283185840708,0.9483870967741935,0.8333547222695729
vnwoodknot,a2_colorjitter,42,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,397,155,150,247,5,0.3778337531486146,0.967741935483871,0.789144764990918
vnwoodknot,a2_colorjitter,43,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,317,155,144,173,11,0.45425867507886436,0.9290322580645162,0.804644306967927
vnwoodknot,a2_colorjitter,44,0.01,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,339,155,147,192,8,0.4336283185840708,0.9483870967741935,0.8333547222695729
vnwoodknot,a2_colorjitter,42,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,397,155,150,247,5,0.3778337531486146,0.967741935483871,0.789144764990918
vnwoodknot,a2_colorjitter,43,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,317,155,144,173,11,0.45425867507886436,0.9290322580645162,0.804644306967927
vnwoodknot,a2_colorjitter,44,0.02,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,339,155,147,192,8,0.4336283185840708,0.9483870967741935,0.8333547222695729
vnwoodknot,a2_colorjitter,42,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,397,155,150,247,5,0.3778337531486146,0.967741935483871,0.789144764990918
vnwoodknot,a2_colorjitter,43,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,317,155,144,173,11,0.45425867507886436,0.9290322580645162,0.804644306967927
vnwoodknot,a2_colorjitter,44,0.05,0.05,0.0,75,1,0.013333333333333334,1,0.013333333333333334,339,155,147,192,8,0.4336283185840708,0.9483870967741935,0.8333547222695729
vnwoodknot,p4_a4_combined,42,0.0,0.7,0.0,75,0,0.0,0,0.0,56,155,54,2,101,0.9642857142857143,0.34838709677419355,0.35
vnwoodknot,p4_a4_combined,43,0.0,0.7,0.0,75,0,0.0,0,0.0,47,155,45,2,110,0.9574468085106383,0.2903225806451613,0.2896138211382114
vnwoodknot,p4_a4_combined,44,0.0,0.7,0.0,75,0,0.0,0,0.0,39,155,38,1,117,0.9743589743589743,0.24516129032258063,0.24500000000000005
vnwoodknot,p4_a4_combined,42,0.01,0.05,0.013333333333333334,75,1,0.013333333333333334,1,0.013333333333333334,302,155,143,159,12,0.4735099337748344,0.9225806451612903,0.8530649669594415
vnwoodknot,p4_a4_combined,43,0.01,0.05,0.013333333333333334,75,0,0.0,0,0.0,292,155,141,151,14,0.4828767123287671,0.9096774193548387,0.8119442933795187
