dataset,variant,seed,threshold,class_id,class_name,rank,confidence,cumulative_tp,cumulative_fp,precision,recall,n_targets_class
vnwoodknot,baseline,42,0.1,0,live_knot,107,0.2815786898136139,65,42,0.6074766355140186,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,108,0.2807769477367401,65,43,0.6018518518518519,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,109,0.27927905321121216,65,44,0.5963302752293578,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,110,0.27140864729881287,65,45,0.5909090909090909,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,111,0.26878947019577026,65,46,0.5855855855855856,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,112,0.26337167620658875,65,47,0.5803571428571429,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,113,0.26331236958503723,65,48,0.5752212389380531,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,114,0.26143190264701843,65,49,0.5701754385964912,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,115,0.23657022416591644,65,50,0.5652173913043478,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,116,0.23389360308647156,65,51,0.5603448275862069,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,117,0.2292311042547226,65,52,0.5555555555555556,0.8227848101265823,79
vnwoodknot,baseline,42,0.1,0,live_knot,118,0.2281823605298996,66,52,0.559322033898305,0.8354430379746836,79
vnwoodknot,baseline,42,0.1,0,live_knot,119,0.22726191580295563,67,52,0.5630252100840336,0.8481012658227848,79
vnwoodknot,baseline,42,0.1,0,live_knot,120,0.22583892941474915,67,53,0.5583333333333333,0.8481012658227848,79
vnwoodknot,baseline,42,0.1,0,live_knot,121,0.22083589434623718,67,54,0.5537190082644629,0.8481012658227848,79
vnwoodknot,baseline,42,0.1,0,live_knot,122,0.21743032336235046,68,54,0.5573770491803278,0.8607594936708861,79
vnwoodknot,baseline,42,0.1,0,live_knot,123,0.21385033428668976,69,54,0.5609756097560976,0.8734177215189873,79
vnwoodknot,baseline,42,0.1,0,live_knot,124,0.21217463910579681,69,55,0.5564516129032258,0.8734177215189873,79
vnwoodknot,baseline,42,0.1,0,live_knot,125,0.2041134536266327,69,56,0.552,0.8734177215189873,79
vnwoodknot,baseline,42,0.1,0,live_knot,126,0.20250387489795685,69,57,0.5476190476190477,0.8734177215189873,79
vnwoodknot,baseline,42,0.1,0,live_knot,127,0.20240138471126556,70,57,0.5511811023622047,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,128,0.20138369500637054,70,58,0.546875,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,129,0.20057426393032074,70,59,0.5426356589147286,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,130,0.20003460347652435,70,60,0.5384615384615384,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,131,0.1977006494998932,70,61,0.5343511450381679,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,132,0.19576482474803925,70,62,0.5303030303030303,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,133,0.1948510706424713,70,63,0.5263157894736842,0.8860759493670886,79
vnwoodknot,baseline,42,0.1,0,live_knot,134,0.1914030909538269,71,63,0.5298507462686567,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,135,0.1872033327817917,71,64,0.5259259259259259,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,136,0.17165003716945648,71,65,0.5220588235294118,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,137,0.1575935184955597,71,66,0.5182481751824818,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,138,0.15004593133926392,71,67,0.5144927536231884,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,139,0.14951670169830322,71,68,0.5107913669064749,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,140,0.14650781452655792,71,69,0.5071428571428571,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,141,0.1445518434047699,71,70,0.5035460992907801,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,142,0.13818833231925964,71,71,0.5,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,143,0.13360650837421417,71,72,0.4965034965034965,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,144,0.13168109953403473,71,73,0.4930555555555556,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,145,0.12637095153331757,71,74,0.4896551724137931,0.8987341772151899,79
vnwoodknot,baseline,42,0.1,0,live_knot,146,0.12221876531839371,72,74,0.4931506849315068,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,147,0.11907625943422318,72,75,0.4897959183673469,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,148,0.11648188531398773,72,76,0.4864864864864865,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,149,0.1144508495926857,72,77,0.48322147651006714,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,150,0.1080155298113823,72,78,0.48,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,151,0.10728034377098083,72,79,0.4768211920529801,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,0,live_knot,152,0.10725219547748566,72,80,0.47368421052631576,0.9113924050632911,79
vnwoodknot,baseline,42,0.1,1,dead_knot,1,0.9487019777297974,1,0,1.0,0.013157894736842105,76
vnwoodknot,baseline,42,0.1,1,dead_knot,2,0.9417740106582642,2,0,1.0,0.02631578947368421,76
vnwoodknot,baseline,42,0.1,1,dead_knot,3,0.9324068427085876,3,0,1.0,0.039473684210526314,76
vnwoodknot,baseline,42,0.1,1,dead_knot,4,0.9259809851646423,4,0,1.0,0.05263157894736842,76
vnwoodknot,baseline,42,0.1,1,dead_knot,5,0.9257555603981018,5,0,1.0,0.06578947368421052,76
vnwoodknot,baseline,42,0.1,1,dead_knot,6,0.9027253985404968,6,0,1.0,0.07894736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,7,0.8950267434120178,7,0,1.0,0.09210526315789473,76
vnwoodknot,baseline,42,0.1,1,dead_knot,8,0.8890464901924133,8,0,1.0,0.10526315789473684,76
vnwoodknot,baseline,42,0.1,1,dead_knot,9,0.8853330016136169,9,0,1.0,0.11842105263157894,76
vnwoodknot,baseline,42,0.1,1,dead_knot,10,0.8817152380943298,10,0,1.0,0.13157894736842105,76
vnwoodknot,baseline,42,0.1,1,dead_knot,11,0.8723515272140503,11,0,1.0,0.14473684210526316,76
vnwoodknot,baseline,42,0.1,1,dead_knot,12,0.8701639771461487,12,0,1.0,0.15789473684210525,76
vnwoodknot,baseline,42,0.1,1,dead_knot,13,0.8681851625442505,13,0,1.0,0.17105263157894737,76
vnwoodknot,baseline,42,0.1,1,dead_knot,14,0.8659435510635376,14,0,1.0,0.18421052631578946,76
vnwoodknot,baseline,42,0.1,1,dead_knot,15,0.8636691570281982,15,0,1.0,0.19736842105263158,76
vnwoodknot,baseline,42,0.1,1,dead_knot,16,0.8566527962684631,16,0,1.0,0.21052631578947367,76
vnwoodknot,baseline,42,0.1,1,dead_knot,17,0.8426710367202759,17,0,1.0,0.2236842105263158,76
vnwoodknot,baseline,42,0.1,1,dead_knot,18,0.8389536738395691,18,0,1.0,0.23684210526315788,76
vnwoodknot,baseline,42,0.1,1,dead_knot,19,0.8381092548370361,19,0,1.0,0.25,76
vnwoodknot,baseline,42,0.1,1,dead_knot,20,0.821007490158081,20,0,1.0,0.2631578947368421,76
vnwoodknot,baseline,42,0.1,1,dead_knot,21,0.8182417750358582,21,0,1.0,0.27631578947368424,76
vnwoodknot,baseline,42,0.1,1,dead_knot,22,0.8169609308242798,22,0,1.0,0.2894736842105263,76
vnwoodknot,baseline,42,0.1,1,dead_knot,23,0.8126381039619446,23,0,1.0,0.3026315789473684,76
vnwoodknot,baseline,42,0.1,1,dead_knot,24,0.7957200407981873,24,0,1.0,0.3157894736842105,76
vnwoodknot,baseline,42,0.1,1,dead_knot,25,0.7714364528656006,25,0,1.0,0.32894736842105265,76
vnwoodknot,baseline,42,0.1,1,dead_knot,26,0.7690848112106323,26,0,1.0,0.34210526315789475,76
vnwoodknot,baseline,42,0.1,1,dead_knot,27,0.7677327990531921,26,1,0.9629629629629629,0.34210526315789475,76
vnwoodknot,baseline,42,0.1,1,dead_knot,28,0.7668501138687134,27,1,0.9642857142857143,0.35526315789473684,76
vnwoodknot,baseline,42,0.1,1,dead_knot,29,0.7646567225456238,28,1,0.9655172413793104,0.3684210526315789,76
vnwoodknot,baseline,42,0.1,1,dead_knot,30,0.7523332834243774,29,1,0.9666666666666667,0.3815789473684211,76
vnwoodknot,baseline,42,0.1,1,dead_knot,31,0.7449831366539001,30,1,0.967741935483871,0.39473684210526316,76
vnwoodknot,baseline,42,0.1,1,dead_knot,32,0.744848906993866,31,1,0.96875,0.40789473684210525,76
vnwoodknot,baseline,42,0.1,1,dead_knot,33,0.7445968389511108,32,1,0.9696969696969697,0.42105263157894735,76
